reference_number,indexed_title,verified_title,indexed_year,verified_year,doi,authoritative_url,open_access_status,download_status,download_source,download_url,local_suggested_filename,file_size_bytes,sha256,pdf_readability,notes
1,Intelligence without Representation,Intelligence without representation,1991,1991,10.1016/0004-3702(91)90053-M,https://doi.org/10.1016/0004-3702(91)90053-M,Open access,Downloaded and PDF-readable,MIT CSAIL course archive,https://courses.csail.mit.edu/6.803/pdf/brooks.pdf,REF_01_1991_Intelligence_without_Representation.pdf,147457,9047e29098d99db1b09b145ea14bfd571a063fbc2d98068a182765ea8d56142e,Readable (12 pages),
2,How the Body Shapes the Way We Think: A New View of Intelligence,How the Body Shapes the Way We Think: A New View of Intelligence,2006,2006,,https://openalex.org/W1558521349,Closed/metadata only,Unavailable after public-source checks,,,,,,Not downloaded,Publisher/book bibliographic record; no public full-text PDF identified.
3,Trends and Challenges in Robot Manipulation,Trends and challenges in robot manipulation,2019,2019,10.1126/science.aat8414,https://doi.org/10.1126/science.aat8414,Open access,Unavailable after public-source checks,,,,,,Not downloaded,No public PDF URL found
4,Hands for Dexterous Manipulation and Robust Grasping: A Difficult Road toward Simplicity,Hands for dexterous manipulation and robust grasping: a difficult road toward simplicity,2000,2000,10.1109/70.897777,https://doi.org/10.1109/70.897777,Closed/metadata only,Unavailable after public-source checks,,,,,,Not downloaded,No public PDF URL found
5,Tactile Sensing—From Humans to Humanoids,Tactile Sensing—From Humans to Humanoids,2010,2009,10.1109/TRO.2009.2033627,https://doi.org/10.1109/TRO.2009.2033627,Open access,Unavailable after public-source checks,,,,,,Not downloaded,No public PDF URL found
6,Robotic Tactile Perception of Object Properties: A Review,Robotic tactile perception of object properties: A review,2017,2017,10.1016/j.mechatronics.2017.11.002,https://doi.org/10.1016/j.mechatronics.2017.11.002,Open access,Downloaded and PDF-readable,OpenAlex best OA location,https://kclpure.kcl.ac.uk/ws/files/82190471/robotic_tactile_perception_review_final.pdf,REF_06_2017_Robotic_Tactile_Perception_of_Object_Properties_A_Review.pdf,2429940,eaead2f573ae79e34dc83cebe8f0b471c84144077a3214b80add74a7b251dc6d,Readable (18 pages),
7,Tactile Sensing in Dexterous Robot Hands—Review,Tactile sensing in dexterous robot hands — Review,2015,2015,10.1016/j.robot.2015.07.015,https://doi.org/10.1016/j.robot.2015.07.015,Open access,Unavailable after public-source checks,,,,,,Not downloaded,No public PDF URL found
8,Magnetic Nanocomposite Cilia Tactile Sensor,Magnetic Nanocomposite Cilia Tactile Sensor,2015,2015,10.1002/adma.201504015,https://doi.org/10.1002/adma.201504015,Closed/metadata only,Unavailable after public-source checks,,,,,,Not downloaded,No public PDF URL found
9,Retrographic Sensing for the Measurement of Surface Texture and Shape,Retrographic sensing for the measurement of surface texture and shape,2009,2009,10.1109/CVPR.2009.5206534,https://doi.org/10.1109/CVPR.2009.5206534,Open access,Downloaded and PDF-readable,MIT CSAIL author page,https://people.csail.mit.edu/kimo/publications/retrographic/sensor.pdf,REF_09_2009_Retrographic_Sensing_for_the_Measurement_of_Surface_Texture_and_Shape.pdf,9999121,1fbbc83a62717036831e45edf28670c8f7d66572d4ad8976ae5be3e7d0097712,Readable (8 pages),
10,GelSight: High-Resolution Robot Tactile Sensors for Estimating Geometry and Force,GelSight: High-Resolution Robot Tactile Sensors for Estimating Geometry and Force,2017,2017,10.3390/s17122762,https://doi.org/10.3390/s17122762,Open access,Downloaded and PDF-readable,Stanford CS114 course reading archive,https://web.stanford.edu/class/cs114/readings/MK-Yuan.pdf,REF_10_2017_GelSight_High_Resolution_Robot_Tactile_Sensors_for_Estimating_Geometry_and_Force.pdf,27442699,e40e658db44c1f35d527e86ee104ee8e6f16da330bdf92c3cdd2d6a8f12ace91,Readable (21 pages),
11,Improved GelSight Tactile Sensor for Measuring Geometry and Slip,Improved GelSight tactile sensor for measuring geometry and slip,2017,2017,10.1109/IROS.2017.8202149,https://doi.org/10.1109/IROS.2017.8202149,Open access,Downloaded and PDF-readable,OpenAlex best OA location,https://arxiv.org/pdf/1708.00922,REF_11_2017_Improved_GelSight_Tactile_Sensor_for_Measuring_Geometry_and_Slip.pdf,5514379,9c27d57d760f895d2d90c8c287368ee90580f1f72b8be0d5d7016cd2aa207afb,Readable (8 pages),
12,"GelSlim: A High-Resolution, Compact, Robust, and Calibrated Tactile-Sensing Finger","GelSlim: A High-Resolution, Compact, Robust, and Calibrated Tactile-sensing Finger",2018,2018,10.1109/IROS.2018.8593661,https://doi.org/10.1109/IROS.2018.8593661,Open access,Downloaded and PDF-readable,OpenAlex best OA location,https://arxiv.org/pdf/1803.00628,REF_12_2018_GelSlim_A_High_Resolution_Compact_Robust_and_Calibrated_Tactile_Sensing_Finger.pdf,2515615,e71d2ab201d4ef70b0b07478b4f51c10e68d32890d253ae08bd3cb0d691e0bb8,Readable (8 pages),
13,"GelSlim 3.0: High-Resolution Measurement of Shape, Force and Slip in a Compact Tactile-Sensing Finger","GelSlim 3.0: High-Resolution Measurement of Shape, Force and Slip in a Compact Tactile-Sensing Finger",2022,2022,10.1109/ICRA46639.2022.9811832,https://doi.org/10.1109/ICRA46639.2022.9811832,Open access,Downloaded and PDF-readable,arXiv,https://arxiv.org/pdf/2103.12269,REF_13_2022_GelSlim_3_0__High_Resolution_Measurement_of_Shape__Force_and_Slip_in_a.pdf,10071789,8b7901959812b30324fa47e82a908cf781259ef7c59f41f2fce5b28c36a22cb1,Readable (9 pages),
14,DIGIT: A Novel Design for a Low-Cost Compact High-Resolution Tactile Sensor with Application to In-Hand Manipulation,DIGIT: A Novel Design for a Low-Cost Compact High-Resolution Tactile Sensor With Application to In-Hand Manipulation,2020,2020,10.1109/LRA.2020.2977257,https://doi.org/10.1109/LRA.2020.2977257,Open access,Downloaded and PDF-readable,OpenAlex best OA location,https://arxiv.org/pdf/2005.14679,REF_14_2020_DIGIT_A_Novel_Design_for_a_Low_Cost_Compact_High_Resolution_Tactile_Sensor_with.pdf,7098575,dbcae130d003bcea9c4a61075458f3ea11597c60e029c18b88f254958fc97d14,Readable (8 pages),
15,The TacTip Family: Soft Optical Tactile Sensors with 3D-Printed Biomimetic Morphologies,The TacTip Family: Soft Optical Tactile Sensors with 3D-Printed Biomimetic Morphologies,2018,2018,10.1089/soro.2017.0052,https://doi.org/10.1089/soro.2017.0052,Open access,Downloaded and PDF-readable,OpenAlex OA location,https://research-information.bris.ac.uk/ws/files/142140217/Full_text_PDF_final_published_version_.pdf,REF_15_2018_The_TacTip_Family_Soft_Optical_Tactile_Sensors_with_3D_Printed_Biomimetic_Morpho.pdf,1378352,b8314c9daeebeed66aa44595ca887f611dfdfd28fda3fe1fcc88d89bf3664c7b,Readable (13 pages),OpenAlex best OA location: HTTP Error 403: Forbidden | OpenAlex OA location: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)>
16,Combining Finger Vision and Optical Tactile Sensing: Reducing and Handling Errors while Cutting Vegetables,Combining finger vision and optical tactile sensing: Reducing and handling errors while cutting vegetables,2016,2016,10.1109/HUMANOIDS.2016.7803400,https://doi.org/10.1109/HUMANOIDS.2016.7803400,Closed/metadata only,Unavailable after public-source checks,,,,,,Not downloaded,No public PDF URL found
17,"ReSkin: Versatile, Replaceable, Lasting Tactile Skins","ReSkin: Versatile, Replaceable, Lasting Tactile Skins",2022,2021,,https://doi.org/10.48550/arxiv.2111.00071,Open access,Downloaded and PDF-readable,OpenAlex best OA location,https://arxiv.org/pdf/2111.00071,REF_17_2022_ReSkin_Versatile_Replaceable_Lasting_Tactile_Skins.pdf,10198127,b0897a9707c8e32d86856a13328e9197707c10570e12037f54a73d43833c98bd,Readable (11 pages),
18,DTact: A Vision-Based Tactile Sensor that Measures High-Resolution 3D Geometry Directly from Darkness,DTact: A Vision-Based Tactile Sensor that Measures High-Resolution 3D Geometry Directly from Darkness,2023,2023,10.1109/ICRA48891.2023.10160796,https://doi.org/10.1109/ICRA48891.2023.10160796,Open access,Downloaded and PDF-readable,arXiv,https://arxiv.org/pdf/2209.13916,REF_18_2023_DTact__A_Vision_Based_Tactile_Sensor_that_Measures_High_Resolution_3D.pdf,1785994,20d0ad3b2d6510dba9e9e7e95caf8790a858bd4ab2e3b2250b7969909818abef,Readable (8 pages),
19,9DTact: A Compact Vision-Based Tactile Sensor for Accurate 3D Shape Reconstruction and Generalizable 6D Force Estimation,9DTact: A Compact Vision-Based Tactile Sensor for Accurate 3D Shape Reconstruction and Generalizable 6D Force Estimation,2024,2023,10.1109/LRA.2023.3339397,https://doi.org/10.1109/LRA.2023.3339397,Open access,Downloaded and PDF-readable,arXiv,https://arxiv.org/pdf/2308.14277,REF_19_2024_9DTact__A_Compact_Vision_Based_Tactile_Sensor_for_Accurate_3D_Shape_Re.pdf,4267229,1ebc9a2baa86d5a4d5d48c692abb571d0a047db1881f10d20aae7503994065ac,Readable (8 pages),
20,DelTact: A Vision-Based Tactile Sensor Using a Dense Color Pattern,DelTact: A Vision-Based Tactile Sensor Using a Dense Color Pattern,2022,2022,10.1109/LRA.2022.3196141,https://doi.org/10.1109/LRA.2022.3196141,Open access,Downloaded and PDF-readable,arXiv,https://arxiv.org/pdf/2202.02179,REF_20_2022_DelTact__A_Vision_Based_Tactile_Sensor_Using_a_Dense_Color_Pattern.pdf,1918779,ce8c98829c93a40e9857955a73c9d3f8177c409515ddd50ff199916483083e7e,Readable (8 pages),
21,DenseTact 2.0: Optical Tactile Sensor for Shape and Force Reconstruction,DenseTact 2.0: Optical Tactile Sensor for Shape and Force Reconstruction,2023,2023,10.1109/ICRA48891.2023.10161150,https://doi.org/10.1109/ICRA48891.2023.10161150,Open access,Downloaded and PDF-readable,arXiv,https://arxiv.org/pdf/2209.10122,REF_21_2023_DenseTact_2_0__Optical_Tactile_Sensor_for_Shape_and_Force_Reconstructi.pdf,38167929,f80a58d80cbd2dba1cd41d6738ae606127b234612fd1f4237db8b525d602f578,Readable (7 pages),
22,Photometric Method for Determining Surface Orientation from Multiple Images,Photometric Method For Determining Surface Orientation From Multiple Images,1980,1980,10.1117/12.7972479,https://doi.org/10.1117/12.7972479,Closed/metadata only,Unavailable after public-source checks,,,,,,Not downloaded,No public PDF URL found
