reference_number,title,authors,year,purpose_and_thesis_sections,doi_or_url,citation_source,archived_literature_file,availability_status,verification_note,verified_title,verified_year,open_access_status,download_source,download_url,file_size_bytes,sha256,pdf_readability
1,"Intelligence without Representation,",R. A. Brooks,1991,Chapter 1 Introduction / 1.1 Background and motivation,https://doi.org/10.1016/0004-3702(91)90053-M,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1016/0004-3702(91)90053-M.,Intelligence without representation,1991,Open access,MIT CSAIL course archive,https://courses.csail.mit.edu/6.803/pdf/brooks.pdf,147457,9047e29098d99db1b09b145ea14bfd571a063fbc2d98068a182765ea8d56142e,Readable (12 pages)
2,How the Body Shapes the Way We Think: A New View of Intelligence,R. Pfeifer and J. Bongard,2006,Chapter 1 Introduction / 1.1 Background and motivation,,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not archived; use authoritative URL,Unavailable after public-source checks,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://openalex.org/W1558521349. Publisher/book bibliographic record; no public full-text PDF identified.,How the Body Shapes the Way We Think: A New View of Intelligence,2006,Closed/metadata only,,,,,Not downloaded
3,"Trends and Challenges in Robot Manipulation,",A. Billard and D. Kragic,2019,Chapter 1 Introduction / 1.1 Background and motivation,https://doi.org/10.1126/science.aat8414,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not archived; use authoritative URL,Unavailable after public-source checks,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1126/science.aat8414. No public PDF URL found,Trends and challenges in robot manipulation,2019,Open access,,,,,Not downloaded
4,"Hands for Dexterous Manipulation and Robust Grasping: A Difficult Road toward Simplicity,",A. Bicchi,2000,Chapter 1 Introduction / 1.1 Background and motivation,https://doi.org/10.1109/70.897777,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not archived; use authoritative URL,Unavailable after public-source checks,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/70.897777. No public PDF URL found,Hands for dexterous manipulation and robust grasping: a difficult road toward simplicity,2000,Closed/metadata only,,,,,Not downloaded
5,"Tactile Sensing—From Humans to Humanoids,","R. S. Dahiya, G. Metta, M. Valle, and G. Sandini",2010,Chapter 2 Related Work / 2.1 Robotic tactile sensing technologies,https://doi.org/10.1109/TRO.2009.2033627,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not archived; use authoritative URL,Unavailable after public-source checks,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/TRO.2009.2033627. No public PDF URL found,Tactile Sensing—From Humans to Humanoids,2009,Open access,,,,,Not downloaded
6,"Robotic Tactile Perception of Object Properties: A Review,","S. Luo, J. Bimbo, R. Dahiya, and H. Liu",2017,Chapter 2 Related Work / 2.1 Robotic tactile sensing technologies,https://doi.org/10.1016/j.mechatronics.2017.11.002,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1016/j.mechatronics.2017.11.002.,Robotic tactile perception of object properties: A review,2017,Open access,OpenAlex best OA location,https://kclpure.kcl.ac.uk/ws/files/82190471/robotic_tactile_perception_review_final.pdf,2429940,eaead2f573ae79e34dc83cebe8f0b471c84144077a3214b80add74a7b251dc6d,Readable (18 pages)
7,"Tactile Sensing in Dexterous Robot Hands—Review,","Z. Kappassov, J.-A. Corrales, and V. Perdereau",2015,Chapter 2 Related Work / 2.1 Robotic tactile sensing technologies,https://doi.org/10.1016/j.robot.2015.07.015,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not archived; use authoritative URL,Unavailable after public-source checks,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1016/j.robot.2015.07.015. No public PDF URL found,Tactile sensing in dexterous robot hands — Review,2015,Open access,,,,,Not downloaded
8,"Magnetic Nanocomposite Cilia Tactile Sensor,",A. Alfadhel and J. Kosel,2015,Chapter 2 Related Work / 2.1 Robotic tactile sensing technologies,https://doi.org/10.1002/adma.201504015,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not archived; use authoritative URL,Unavailable after public-source checks,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1002/adma.201504015. No public PDF URL found,Magnetic Nanocomposite Cilia Tactile Sensor,2015,Closed/metadata only,,,,,Not downloaded
9,"Retrographic Sensing for the Measurement of Surface Texture and Shape,",M. K. Johnson and E. H. Adelson,2009,Chapter 2 Related Work / 2.2 Representative vision-based tactile sensors,https://doi.org/10.1109/CVPR.2009.5206534,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/CVPR.2009.5206534.,Retrographic sensing for the measurement of surface texture and shape,2009,Open access,MIT CSAIL author page,https://people.csail.mit.edu/kimo/publications/retrographic/sensor.pdf,9999121,1fbbc83a62717036831e45edf28670c8f7d66572d4ad8976ae5be3e7d0097712,Readable (8 pages)
10,"GelSight: High-Resolution Robot Tactile Sensors for Estimating Geometry and Force,","W. Yuan, S. Dong, and E. H. Adelson",2017,"Chapter 2 Related Work / 2.2 Representative vision-based tactile sensors; Chapter 4 Hardware Design and Fabrication / 4.2 Camera, decoder board and LED PCB integration",https://doi.org/10.3390/s17122762,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,04_Reference_Library/Files/REF_10_2017_GelSight_High_Resolution_Robot_Tactile_Sensors_for_Estimating_Geometry_and_Force.pdf,Downloaded and PDF-readable,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.3390/s17122762.,GelSight: High-Resolution Robot Tactile Sensors for Estimating Geometry and Force,2017,Open access,Stanford CS114 course reading archive,https://web.stanford.edu/class/cs114/readings/MK-Yuan.pdf,27442699,e40e658db44c1f35d527e86ee104ee8e6f16da330bdf92c3cdd2d6a8f12ace91,Readable (21 pages)
