index,row,col,x,y
1,1,1,126,88
2,1,2,178,94
3,1,3,227,96
4,1,4,274,101
5,1,5,320,105
6,1,6,369,100
7,1,7,418,93
8,1,8,473,88
9,1,9,520,85
10,2,1,130,144
11,2,2,184,145
12,2,3,232,147
13,2,4,276,151
14,2,5,319,151
15,2,6,364,150
16,2,7,411,146
17,2,8,465,142
18,2,9,516,139
19,3,1,133,187
20,3,2,184,192
21,3,3,234,193
22,3,4,279,194
23,3,5,320,195
24,3,6,362,195
25,3,7,409,192
26,3,8,462,188
27,3,9,514,187
28,4,1,132,236
29,4,2,185,236
30,4,3,234,240
31,4,4,278,239
32,4,5,319,237
33,4,6,362,236
34,4,7,408,239
35,4,8,459,239
36,4,9,514,237
37,5,1,129,283
38,5,2,183,283
39,5,3,232,283
40,5,4,278,281
41,5,5,319,279
42,5,6,363,279
43,5,7,408,282
44,5,8,464,286
45,5,9,521,289
46,6,1,121,336
47,6,2,178,331
48,6,3,229,329
49,6,4,277,325
50,6,5,319,323
51,6,6,365,325
52,6,7,412,329
53,6,8,470,330
54,6,9,522,335
55,7,1,113,388
56,7,2,174,384
57,7,3,224,381
58,7,4,277,378
59,7,5,322,377
60,7,6,378,379
61,7,7,425,383
62,7,8,475,386
63,7,9,528,389
