path,sha256,comparison,upstream_paths
03_Hardware/01_CAD_Source/SolidWorks_Assemblies/LED_PCB_Model_from_JLC/led_board_combined.SLDASM,1b2b1c87b926b962a32be873c68952055b7364bb3a436b641cbcb921e6dddc91,Exact upstream match,02_Software/Final_Repository_Snapshot/Original/9DTact_Design/LED_PCB/LED_Model_from_JLC/led_board_combined.SLDASM
03_Hardware/01_CAD_Source/SolidWorks_Assemblies/LED_PCB_Model_from_JLC/led_board_down.SLDPRT,f0f7129657d0ddc3813b376758c039c77eaae105930bb26e05f550ebf3f60f5f,Exact upstream match,02_Software/Final_Repository_Snapshot/Original/9DTact_Design/LED_PCB/LED_Model_from_JLC/led_board_down.SLDPRT
03_Hardware/01_CAD_Source/SolidWorks_Assemblies/LED_PCB_Model_from_JLC/led_board_from_JLC.SLDPRT,082b5f3ef0d20164a1d7d2d2236c8c37d4c10b80b316df708a1f1764dabd58d6,Exact upstream match,02_Software/Final_Repository_Snapshot/Original/9DTact_Design/LED_PCB/LED_Model_from_JLC/led_board_from_JLC.SLDPRT
03_Hardware/01_CAD_Source/SolidWorks_Assemblies/LED_PCB_Model_from_JLC/led_board_up.SLDPRT,a4411e9cc7c4b04af20ac70f71128b63d53ec794b83d298906636d2b1eced441,Exact upstream match,02_Software/Final_Repository_Snapshot/Original/9DTact_Design/LED_PCB/LED_Model_from_JLC/led_board_up.SLDPRT
03_Hardware/01_CAD_Source/SolidWorks_Parts/Calibration/calibration_board.SLDPRT,20e574592fc46801cc4254c495c2424cd15390290423e8ea4e59f9d99efb9ada,Exact upstream match,02_Software/Final_Repository_Snapshot/Original/9DTact_Design/fabrication/calibration_board.SLDPRT
03_Hardware/01_CAD_Source/SolidWorks_Parts/Gripper/gripper-L.SLDPRT,02b70f7e631ba5b3c127261ccaab7eff672e75fd2c4a4e3be688cbb9562dc2cb,No exact byte match; not an authorship conclusion,
03_Hardware/01_CAD_Source/SolidWorks_Parts/Gripper/gripper-R.SLDPRT,7df41019d557937614561ad58eae5c1af94d87d95c381d20c64b8de9a032ee06,No exact byte match; not an authorship conclusion,
03_Hardware/01_CAD_Source/SolidWorks_Parts/Optimized_Sensor/acrylic_window.SLDPRT,db339570dd11e936abc3d00144f940362a76a9457c7bd763cb6525b1a5ffe8ac,Exact upstream match,02_Software/Final_Repository_Snapshot/Original/9DTact_Design/2_Diffusion_Module/acrylic_window.SLDPRT
03_Hardware/01_CAD_Source/SolidWorks_Parts/Optimized_Sensor/isolation_ring.SLDPRT,ea57e9d43094f71fde8e520f46240cf10dd2b9270f3f743cf5d25ca738db4c79,Exact upstream match,02_Software/Final_Repository_Snapshot/Original/9DTact_Design/2_Diffusion_Module/isolation_ring.SLDPRT
03_Hardware/01_CAD_Source/SolidWorks_Parts/Optimized_Sensor/sensor_base.SLDPRT,52aa7b718a13a1e016435853df094ccc270ecf1d830b233554c87ec9df79c21c,No exact byte match; not an authorship conclusion,
03_Hardware/01_CAD_Source/SolidWorks_Parts/Optimized_Sensor/sensor_shell_optimized.SLDPRT,89f06e29cbd3a185486ce5b376776283824c6cda9ed0376a3581c65836ee1ff5,No exact byte match; not an authorship conclusion,
03_Hardware/01_CAD_Source/SolidWorks_Parts/Test_Connections/FT300_connection base.SLDPRT,4656feaddc7c1031ad097d4601da9650c6be078923154c49ff11c89f2754e3be,No exact byte match; not an authorship conclusion,
