path,source_git_blob,handover_git_blob,difference
.gitattributes,14a10fc0f172a1a3c28acf5b554c7d5588b7bf80,a19fc4704f171c874704e0ecd69f489becb475cb,CRLF-only; LF-normalized blob equals source
.gitignore,b5fa596567474d466c7dd4f7dc613ac86c109b30,320653d5afc09872e6cca12732f83048d4f6152b,CRLF-only; LF-normalized blob equals source
LICENSE,2935f80573a992aab84eb5c0db3917f248e54738,34b2a272a3ccff1f0502420c40224157549eb760,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Drill_NPTH_Through.DRL,cf05e847f0e2d0c36970672098fb097114d59d26,7fc0995d12c2c7b6a874249dbcb53f622461593a,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Drill_PTH_Through.DRL,dc5d1ee0cb0bf43e5dd94bfe80895f1b62916a25,a99770b9b84bddead19364fcfcb41782b3b6c31c,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Drill_PTH_Through_Via.DRL,ddea2e40e3d9b013667e1c9e6957733e29b0432a,4005c5c564e2a9b08ec60aebc41acc5a8f653a95,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Fabrication_ColorfulBoardOutlineMark.FCBM,babea60de789e2583910fcc1b1cbc88f4aefc418,1951e1f4e40787728d377a8717c103f56bb05d2b,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/FlyingProbeTesting.json,6683ba197a85a6a1e34d634a6130c8a78daaff88,b17ecfe38eab936f6c1aef5b6316f8e5303933b2,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Gerber_BoardOutlineLayer.GKO,7143540730a492aa76d389827f93cf3c21498341,31dfb45724b949f9d7356492b662189a21718506,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Gerber_BottomLayer.GBL,e8cc977d7e724edc6b61ec5e438dc4985e457278,eb8bc215f0cabfdae959c7671f77dec34f45a6d6,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Gerber_BottomPasteMaskLayer.GBP,fe00fe651e56e153012e7b8df1d2062da6d35edd,99e6d573d612be0fe42a326ea8209c31e21dec0f,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Gerber_BottomSilkscreenLayer.GBO,f00f36ae1ff6ff156ea342a49c27d6527fd22899,16b4a933ba3167e95aff7f94648cf0fe1c8fd5d3,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Gerber_BottomSolderMaskLayer.GBS,99169931489620db5c392ff7c2ceff06e842e083,b6c51658c02b13b7cb0563844126a81a8572e202,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Gerber_DocumentLayer.GDL,de89052abb2f72f00a3742b0dac8d6ec8939b555,48624471d17739df158a98a2590969fc47c4d051,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Gerber_DrillDrawingLayer.GDD,c60a1d82d79117bfc7f78abbbe67d59f65690e6a,c13cd4185750712dd4c04869f335f7ce602f9ca5,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Gerber_TopLayer.GTL,a082bf823ee8860dc02e14ae1995f9e1ce7e0f25,a7e95b170ab88ce53525f90ec491a1ac056a3855,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Gerber_TopPasteMaskLayer.GTP,715eaec080eaf736e4f27e99fbba91104c9a48c0,f00d8a65fea82790b75a53b5948ffa76c1f76d40,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Gerber_TopSilkscreenLayer.GTO,c32ee26a832fedda7eabca55625debf23d54e1ed,18d15db31d1cd6c2d5ed0bffe4c2fb6dd19bd0f9,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Gerber_TopSolderMaskLayer.GTS,dc9429d138bc5ecd21abf9a1618bfa93d6d309ff,5366a68078bc4fdd16e880003cdc0d35f8f40806,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/PCB下单必读.txt,4b05c910a6239db09023706124ac13c3726a929c,ff29a7f88941c90497eef97e8f5e68fa60eab3c2,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/fabrication/calibration_board.STEP,2fd11219c80f0fe1fa5a1d81a4c803d5407144f9,ad1d22f71a3aa9db936a47b60ebd27f8ac6e7cba,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/fabrication/isolation_ring.STEP,0ebfde730523b7c9b2880376fc5ca8a295862618,b3265256122b6dfdef41cf3a08ba0328e955b8e9,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/fabrication/mold_1_thickness_2.5mm.DXF,c416a117d5dacceba2f464fe1aa37a859e8e6016,2bff2280fa933bddee670086f7d74dc53c678d64,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/fabrication/mold_2_thickness_2.8mm.DXF,ed22d59459f0049607596f7aa39e2174a6c5ed6b,aed3a669a69561bdeb29cb60b9fc9b223a6c47dd,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/fabrication/mold_base_thickness_3.0mm.DXF,0d5c61663573bd11e736be7cf7b2a0f758195f76,78ec0b14a67f6125db1678e9321f2266d153d91e,CRLF-only; LF-normalized blob equals source
Original/9DTact_Design/fabrication/sensor_base.STEP,871b4ec1fe22e45aaf3fd5635085abe55e33e785,c4d2c5154f8fba5986436eb63ef6c8a33cb7c4e1,CRLF-only; LF-normalized blob equals source
Original/LICENSE,2935f80573a992aab84eb5c0db3917f248e54738,34b2a272a3ccff1f0502420c40224157549eb760,CRLF-only; LF-normalized blob equals source
Original/README.md,7f6503d2b43ffef6b86148c8de8f91d6fcdb39d7,47e545107c7d55d41d729e950237c4f7afa6f716,CRLF-only; LF-normalized blob equals source
Original/data/__init__.py,b28ba3a3f68c6cac2d7d8b594ae16178dbaaadda,14ec8d7f2f69851e136eb97c1e71c32aa05239f9,CRLF-only; LF-normalized blob equals source
Original/data/dtact_dataset.py,a554d7b952fbcb66e58001f0c4f4b7bfb8d511ba,d6920619809613edd1a38a89e7e804b1c6f2ac44,CRLF-only; LF-normalized blob equals source
Original/data_collection/collect_data.py,f6944e3e1f1d7d561f89aa0f79bb1decc6de58ba,0b891028b9e17fe9667be51d152dec358f850736,CRLF-only; LF-normalized blob equals source
Original/data_collection/split_train_test(objects).py,c95317336de85a10d8f1b2b71231f83b0b0c80a9,521375dbddf23a4cf226743e5ce2f6fdca1cf2a6,CRLF-only; LF-normalized blob equals source
Original/data_collection/split_train_test.py,62c0d14ff07089536ef9e793db04e16e9b8688b8,c5506922755258d99204434727c38376289c8335,CRLF-only; LF-normalized blob equals source
Original/data_collection/wrench_normalization.py,e8187df024ac90962c08a6546fdaa642cb1da8ab,e94208f5373aa78490a946b77c5f855509c94811,CRLF-only; LF-normalized blob equals source
Original/force_estimation/_1_Force_Estimation.py,f074d07406bfb4e89325c82ce080fc7d2cf771fc,353101e26c3bb9267a6ef64121e22406eb92cbb2,CRLF-only; LF-normalized blob equals source
Original/force_estimation/__init__.py,4c4a0ab9bdbad9eacf2e49bcd73db09446f737b3,2a5c7b1a89cf659f4c871201cc7b5907189d748e,CRLF-only; LF-normalized blob equals source
Original/force_estimation/estimator.py,06669063ece022841faa7ae8739f624f390dcd67,f08eb68d254a0409e5dd6d1e044ab850853eb571,CRLF-only; LF-normalized blob equals source
Original/force_estimation/force_config.yaml,21716c4aaddb96a5141401040e05d117379aac80,827cafbe0bfdbe4370ce49e64865934009c6c9c2,CRLF-only; LF-normalized blob equals source
Original/force_estimation/force_visualizer.py,ce7d7d7e298bd0b0fb4a50e2981649e2f105f6b4,5a5dd90ff1e15fc62681be5b57acb018517f11a2,CRLF-only; LF-normalized blob equals source
Original/force_estimation/train.py,7314f47ac4248669c1c41047edc8148ad2c9fd25,2e07236ac18034fc380bf348aa64c83f2506f000,CRLF-only; LF-normalized blob equals source
Original/model/__init__.py,963c906600cd29c62ef18ec86835fd7b2af3bb3e,7f2cafb952abf3612cf07c3a8f9467cc170248fe,CRLF-only; LF-normalized blob equals source
Original/model/cnn.py,5f00727ebf18b312b784a0b01cf88eb7ea0e40d1,bf00f880ce8189bd9ca19e6ed64655f0aa0069f2,CRLF-only; LF-normalized blob equals source
Original/model/vit.py,e2b76acf68f2d0f1441973319766369fc3288615,b4901424301d5769ea1ffe0ac5ce6244bfcc2beb,CRLF-only; LF-normalized blob equals source
Original/model/vit_resnet_v2.py,b679671691b18beaaf2ec86f1a91d9ff5703bfa6,6b307e1bfe98a0d766d59f6d2607ddc4f11a2330,CRLF-only; LF-normalized blob equals source
Original/requirements.txt,6fed3bd2c08485285f776899c9f6b24876e067bd,ad325c70f1af571253523c3a0edbb324b9267983,CRLF-only; LF-normalized blob equals source
Original/setup.py,79f3598dabadcc586fcd6c9bbe5d2fab6c841dd2,350972c619c9cbbe9a77cddb8e789b3bf686efd1,CRLF-only; LF-normalized blob equals source
Original/shape-force_ros/Sequence_Comparison.py,6acd44848d8920a2b9ff03a3b23495db33ee5663,ab7f16fecd68d7c4df19c6761e76b54c2e0ac5a9,CRLF-only; LF-normalized blob equals source
Original/shape-force_ros/_1_Sensor_ros.py,b5c54b6e36bd995e2e5a3e67b71a33d957611098,65955fbf2021ff8314a33483c8ce497765674605,CRLF-only; LF-normalized blob equals source
Original/shape-force_ros/_2_Shape_Reconstruction_ros.py,b0f2f8adde798c174741cb1530f398a4e034adff,5df1c0babb350a6c0f68a01c393eb76dcea8f3ad,CRLF-only; LF-normalized blob equals source
Original/shape-force_ros/_3_Force_Estimation_ros.py,6acd44848d8920a2b9ff03a3b23495db33ee5663,ab7f16fecd68d7c4df19c6761e76b54c2e0ac5a9,CRLF-only; LF-normalized blob equals source
Original/shape-force_ros/_4_Shape_Force_ros.py,3b670cd16f0f4f5b60c55345d82755cb03e615f0,824d0290d5d2762aeeeb98dd21b91b8b76e20c92,CRLF-only; LF-normalized blob equals source
Original/shape-force_ros/sf_visualizer.py,ca8ce76eecab1e1e9939cdcda679284f31d6ab1d,bc86d5cd40134422f8a4afee9bdcc1c10d31ea22,CRLF-only; LF-normalized blob equals source
Original/shape-force_ros/shape_visualizer.py,5779a7884eaf3eaaa5e833b2a2b951038daa2661,a312c2c66e83cdee1e3c9d7e8e71e3973d205742,CRLF-only; LF-normalized blob equals source
Original/shape_reconstruction/_1_Camera_Calibration.py,1984bc06794b8ec53d9c2bab857ac9c7f012e4b7,0fab9e8eaa430992e83b1c6f4512b3fd9d26a12e,CRLF-only; LF-normalized blob equals source
Original/shape_reconstruction/_2_Sensor_Calibration.py,ecd3e36111535dffe7af460dbf78caeee85883cc,586aa23d420a3d3ca0896e649d72c869b54669b6,CRLF-only; LF-normalized blob equals source
